REG;LIBREG;DEP;LIBDEP;EPCI;LIBEPCI;DROIT;DEPCOM;CODEPOSTAL;LIBCOM;NUMVOIE;INDREP;TYPVOIE;NOMVOIE;NUMAPPT;NUMBOITE;ESC;COULOIR;ETAGE;COMPLIDENT;ENTREE;BAT;IMMEU;COMPLGEO;LIEUDIT;QPV;TYPECONST;NBPIECE;SURFHAB;CONSTRUCT;LOCAT;PATRIMOINE;ORIGINE;FINAN;FINANAUTRE;CONV;NUMCONV;DATCONV;NEWLOGT;CUS;DPEDATE;DPEENERGIE;DPESERRE;SRU_EXPIR;SRU_ALINEA;CODSEGPATRIM;LIBSEGPATRIM
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 1;0001;;;;0;;;;0000-1061-A000-A001;RESIDENCE CASTELLUCCIO;;2;C;3;68;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 1;0002;;;;0;;;;0000-1061-A000-A001;RESIDENCE CASTELLUCCIO;;2;C;1;28;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 1;0003;;;;1;;;;0000-1061-A000-A001;RESIDENCE CASTELLUCCIO;;2;C;4;79;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 1;0004;;;;1;;;;0000-1061-A000-A001;RESIDENCE CASTELLUCCIO;;2;C;1;43;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 1;0005;;;;2;;;;0000-1061-A000-A001;RESIDENCE CASTELLUCCIO;;2;C;4;79;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 1;0006;;;;2;;;;0000-1061-A000-A001;RESIDENCE CASTELLUCCIO;;2;C;1;43;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 1;0007;;;;3;;;;0000-1061-A000-A001;RESIDENCE CASTELLUCCIO;;2;C;4;79;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 1;0008;;;;3;;;;0000-1061-A000-A001;RESIDENCE CASTELLUCCIO;;2;C;1;43;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 2;0009;;;;0;;;;0000-1061-A000-A002;RESIDENCE CASTELLUCCIO;;2;C;2;57;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 2;0010;;;;0;;;;0000-1061-A000-A002;RESIDENCE CASTELLUCCIO;;2;C;3;68;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 2;0011;;;;1;;;;0000-1061-A000-A002;RESIDENCE CASTELLUCCIO;;2;C;4;79;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 2;0012;;;;1;;;;0000-1061-A000-A002;RESIDENCE CASTELLUCCIO;;2;C;3;68;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 2;0013;;;;2;;;;0000-1061-A000-A002;RESIDENCE CASTELLUCCIO;;2;C;4;79;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 2;0014;;;;2;;;;0000-1061-A000-A002;RESIDENCE CASTELLUCCIO;;2;C;3;68;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 2;0015;;;;3;;;;0000-1061-A000-A002;RESIDENCE CASTELLUCCIO;;2;C;4;79;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 2;0016;;;;3;;;;0000-1061-A000-A002;RESIDENCE CASTELLUCCIO;;2;C;3;68;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 3;0017;;;;0;;;;0000-1061-A000-A003;RESIDENCE CASTELLUCCIO;;2;C;2;57;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 3;0018;;;;0;;;;0000-1061-A000-A003;RESIDENCE CASTELLUCCIO;;2;C;3;68;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 3;0019;;;;1;;;;0000-1061-A000-A003;RESIDENCE CASTELLUCCIO;;2;C;3;68;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 3;0020;;;;1;;;;0000-1061-A000-A003;RESIDENCE CASTELLUCCIO;;2;C;4;79;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 3;0021;;;;2;;;;0000-1061-A000-A003;RESIDENCE CASTELLUCCIO;;2;C;4;68;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 3;0022;;;;2;;;;0000-1061-A000-A003;RESIDENCE CASTELLUCCIO;;2;C;4;79;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 3;0023;;;;3;;;;0000-1061-A000-A003;RESIDENCE CASTELLUCCIO;;2;C;3;68;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT A ESCALIER 3;0024;;;;3;;;;0000-1061-A000-A003;RESIDENCE CASTELLUCCIO;;2;C;4;79;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT B ESCALIER 4;0001;;;;0;;;;0000-1061-B000-B004;RESIDENCE CASTELLUCCIO;;2;C;2;42;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT B ESCALIER 4;0002;;;;0;;;;0000-1061-B000-B004;RESIDENCE CASTELLUCCIO;;2;C;1;28;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT B ESCALIER 4;0003;;;;1;;;;0000-1061-B000-B004;RESIDENCE CASTELLUCCIO;;2;C;4;79;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT B ESCALIER 4;0004;;;;1;;;;0000-1061-B000-B004;RESIDENCE CASTELLUCCIO;;2;C;1;43;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT B ESCALIER 4;0005;;;;2;;;;0000-1061-B000-B004;RESIDENCE CASTELLUCCIO;;2;C;4;79;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT B ESCALIER 4;0006;;;;2;;;;0000-1061-B000-B004;RESIDENCE CASTELLUCCIO;;2;C;1;43;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT B ESCALIER 4;0007;;;;3;;;;0000-1061-B000-B004;RESIDENCE CASTELLUCCIO;;2;C;4;79;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT B ESCALIER 4;0008;;;;3;;;;0000-1061-B000-B004;RESIDENCE CASTELLUCCIO;;2;C;1;43;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT B ESCALIER 4;0009;;;;4;;;;0000-1061-B000-B004;RESIDENCE CASTELLUCCIO;;2;C;4;79;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT B ESCALIER 4;0010;;;;4;;;;0000-1061-B000-B004;RESIDENCE CASTELLUCCIO;;2;C;1;43;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT B ESCALIER 5;0011;;;;0;;;;0000-1061-B000-B005;RESIDENCE CASTELLUCCIO;;2;C;1;28;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT B ESCALIER 5;0012;;;;0;;;;0000-1061-B000-B005;RESIDENCE CASTELLUCCIO;;2;C;3;68;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT B ESCALIER 5;0013;;;;1;;;;0000-1061-B000-B005;RESIDENCE CASTELLUCCIO;;2;C;1;43;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
94;Corse;2A;CORSE-DU-SUD;242010056;CA du Pays Ajaccien;1;2A004;20090;AJACCIO;;;;BATIMENT B ESCALIER 5;0014;;;;1;;;;0000-1061-B000-B005;RESIDENCE CASTELLUCCIO;;2;C;4;79;1974;1974;1974;1;49;Palulos;1;2A/1993/03/80416/190;05/04/1993;;;11/2008;C;;2019;2;0005;Agence de Toulon
