Code commune;Libellé des communes;Typo degré de densité;Région;Population municipale 2010;Part population dense (1);Part population intermédiaire (2);Part population peu dense (3);Part population très peu dense (4)
01001;L'Abergement-Clémenciat;3;84;784;0,00 %;0,00 %;88,76 %;11,24 %
01002;L'Abergement-de-Varey;4;84;221;0,00 %;0,00 %;0,92 %;99,08 %
01004;Ambérieu-en-Bugey;2;84;13 835;0,00 %;95,69 %;3,47 %;0,84 %
01005;Ambérieux-en-Dombes;3;84;1 616;0,00 %;0,00 %;96,12 %;3,88 %
01006;Ambléon;4;84;116;0,00 %;0,00 %;0,00 %;100,00 %
01007;Ambronay;3;84;2 362;0,00 %;0,00 %;96,91 %;3,09 %
01008;Ambutrix;2;84;729;0,00 %;80,79 %;18,99 %;0,22 %
01009;Andert-et-Condon;3;84;340;0,00 %;0,00 %;87,00 %;13,00 %
01010;Anglefort;3;84;994;0,00 %;0,00 %;96,31 %;3,69 %
01011;Apremont;3;84;363;0,00 %;0,00 %;83,62 %;16,38 %
01012;Aranc;4;84;302;0,00 %;0,00 %;0,00 %;100,00 %
01013;Arandas;4;84;163;0,00 %;0,00 %;0,00 %;100,00 %
01014;Arbent;3;84;3 476;0,00 %;84,37 %;15,42 %;0,21 %
01015;Arboys en Bugey;4;84;603;0,00 %;0,00 %;20,23 %;79,77 %
01016;Arbigny;3;84;399;0,00 %;0,00 %;87,70 %;12,30 %
01017;Argis;3;84;421;0,00 %;0,00 %;89,87 %;10,13 %
01019;Armix;4;84;20;0,00 %;0,00 %;0,00 %;100,00 %
01021;Ars-sur-Formans;3;84;1 367;0,00 %;0,00 %;98,86 %;1,14 %
01022;Artemare;3;84;1 126;0,00 %;0,00 %;99,66 %;0,34 %
01023;Asnières-sur-Saône;4;84;73;0,00 %;0,05 %;0,00 %;99,95 %
01024;Attignat;3;84;2 936;0,00 %;0,00 %;96,71 %;3,29 %
01025;Bâgé-la-Ville;3;84;3 040;0,00 %;0,00 %;92,42 %;7,58 %
01026;Bâgé-le-Châtel;3;84;796;0,00 %;0,00 %;100,00 %;0,00 %
01027;Balan;3;84;2 348;0,00 %;0,00 %;98,27 %;1,73 %
01028;Baneins;3;84;572;0,00 %;0,00 %;89,45 %;10,55 %
01029;Beaupont;3;84;624;0,00 %;0,00 %;84,93 %;15,07 %
01030;Beauregard;2;84;870;0,00 %;90,12 %;9,88 %;0,00 %
01031;Bellignat;2;84;3 537;0,00 %;98,07 %;1,93 %;0,00 %
01032;Béligneux;3;84;2 905;0,00 %;0,00 %;99,38 %;0,62 %
01033;Bellegarde-sur-Valserine;2;84;11 790;0,00 %;94,13 %;5,47 %;0,40 %
01034;Belley;2;84;8 755;0,00 %;79,54 %;20,14 %;0,32 %
01035;Belleydoux;4;84;321;0,00 %;0,00 %;0,00 %;100,00 %
01036;Belmont-Luthézieu;3;84;514;0,00 %;0,00 %;66,96 %;33,04 %
01037;Bénonces;4;84;275;0,00 %;0,00 %;0,00 %;100,00 %
01038;Bény;3;84;724;0,00 %;0,00 %;81,72 %;18,28 %
01039;Béon;3;84;373;0,00 %;0,00 %;100,00 %;0,00 %
01040;Béréziat;3;84;445;0,00 %;0,00 %;83,45 %;16,55 %
01041;Bettant;2;84;724;0,00 %;97,60 %;0,06 %;2,34 %
01042;Bey;3;84;245;0,00 %;0,00 %;100,00 %;0,00 %
01043;Beynost;2;84;4 475;0,00 %;95,34 %;4,27 %;0,38 %
01044;Billiat;3;84;484;0,00 %;0,00 %;99,01 %;0,99 %
01045;Birieux;4;84;236;0,00 %;0,00 %;0,00 %;100,00 %
01046;Biziat;3;84;797;0,00 %;0,00 %;99,73 %;0,27 %
01047;Blyes;3;84;886;0,00 %;0,00 %;100,00 %;0,00 %
01049;La Boisse;2;84;2 928;0,00 %;98,45 %;1,01 %;0,54 %
01050;Boissey;4;84;288;0,00 %;0,00 %;0,00 %;100,00 %
01051;Bolozon;4;84;94;0,00 %;0,00 %;34,93 %;65,07 %
01052;Bouligneux;4;84;309;0,00 %;0,00 %;24,82 %;75,18 %
01053;Bourg-en-Bresse;2;84;40 088;0,00 %;96,62 %;3,27 %;0,11 %
01054;Bourg-Saint-Christophe;3;84;1 173;0,00 %;0,00 %;99,61 %;0,39 %
01056;Boyeux-Saint-Jérôme;3;84;321;0,00 %;0,00 %;51,55 %;48,45 %
01057;Boz;3;84;496;0,00 %;0,00 %;96,09 %;3,91 %
01058;Brégnier-Cordon;3;84;832;0,00 %;0,00 %;53,15 %;46,85 %
01059;Brénaz;4;84;92;0,00 %;0,00 %;0,00 %;100,00 %
01060;Brénod;3;84;544;0,00 %;0,00 %;87,69 %;12,31 %
01061;Brens;3;84;1 158;0,00 %;0,00 %;98,37 %;1,63 %
01062;Bressolles;3;84;709;0,00 %;45,63 %;52,34 %;2,03 %
01063;Brion;2;84;517;0,00 %;73,99 %;24,21 %;1,80 %
01064;Briord;3;84;893;0,00 %;0,00 %;96,76 %;3,24 %
01065;Buellas;3;84;1 669;0,00 %;0,00 %;98,13 %;1,87 %
01066;La Burbanche;4;84;72;0,00 %;0,00 %;0,00 %;100,00 %
01067;Ceignes;4;84;265;0,00 %;0,00 %;0,00 %;100,00 %
01068;Cerdon;3;84;741;0,00 %;0,00 %;91,09 %;8,91 %
01069;Certines;3;84;1 445;0,00 %;0,00 %;78,83 %;21,17 %
01071;Cessy;2;84;3 992;0,00 %;86,02 %;13,98 %;0,00 %
01072;Ceyzériat;3;84;2 738;0,00 %;0,00 %;99,93 %;0,07 %
01073;Ceyzérieu;3;84;929;0,00 %;0,00 %;89,46 %;10,54 %
01074;Chalamont;3;84;2 322;0,00 %;0,00 %;90,50 %;9,50 %
01075;Chaleins;3;84;1 165;0,00 %;0,00 %;82,25 %;17,75 %
01076;Chaley;4;84;127;0,00 %;0,00 %;0,00 %;100,00 %
01077;Challes-la-Montagne;4;84;179;0,00 %;0,00 %;0,00 %;100,00 %
01078;Challex;3;84;1 225;0,00 %;0,00 %;94,44 %;5,56 %
01079;Champagne-en-Valromey;3;84;765;0,00 %;0,00 %;62,55 %;37,45 %
01080;Champdor-Corcelles;3;84;707;0,00 %;0,00 %;62,34 %;37,66 %
01081;Champfromier;3;84;677;0,00 %;0,00 %;93,37 %;6,63 %
01082;Chanay;3;84;617;0,00 %;0,00 %;97,37 %;2,63 %
01083;Chaneins;3;84;820;0,00 %;0,00 %;88,50 %;11,50 %
01084;Chanoz-Châtenay;3;84;706;0,00 %;0,00 %;89,45 %;10,55 %
01085;La Chapelle-du-Châtelard;4;84;341;0,00 %;0,00 %;0,00 %;100,00 %
01087;Charix;4;84;294;0,00 %;0,00 %;0,00 %;100,00 %
01088;Charnoz-sur-Ain;3;84;911;0,00 %;0,00 %;98,55 %;1,45 %
01089;Château-Gaillard;3;84;1 818;0,00 %;28,29 %;70,97 %;0,73 %
01090;Châtenay;4;84;352;0,00 %;0,00 %;0,00 %;100,00 %
01091;Châtillon-en-Michaille;3;84;3 120;0,00 %;1,87 %;95,28 %;2,85 %
01092;Châtillon-la-Palud;3;84;1 562;0,00 %;0,00 %;96,79 %;3,21 %
01093;Châtillon-sur-Chalaronne;3;84;4 922;0,00 %;0,00 %;97,82 %;2,18 %
01094;Chavannes-sur-Reyssouze;3;84;680;0,00 %;0,00 %;88,64 %;11,36 %
01095;Nivigne et Suran;3;84;789;0,00 %;0,00 %;63,11 %;36,89 %
01096;Chaveyriat;3;84;927;0,00 %;0,00 %;91,51 %;8,49 %
01097;Chavornay;3;84;199;0,00 %;0,00 %;97,28 %;2,72 %
01098;Chazey-Bons;3;84;912;0,00 %;0,00 %;88,33 %;11,67 %
01099;Chazey-sur-Ain;3;84;1 464;0,00 %;0,00 %;94,66 %;5,34 %
01100;Cheignieu-la-Balme;4;84;157;0,00 %;0,00 %;0,00 %;100,00 %
01101;Chevillard;4;84;162;0,00 %;0,00 %;0,00 %;100,00 %
01102;Chevroux;3;84;933;0,00 %;0,00 %;76,29 %;23,71 %
01103;Chevry;3;84;1 235;0,00 %;0,00 %;99,90 %;0,10 %
01104;Chézery-Forens;3;84;434;0,00 %;0,00 %;79,85 %;20,15 %
01105;Civrieux;3;84;1 362;0,00 %;0,00 %;88,96 %;11,04 %
01106;Cize;3;84;170;0,00 %;0,00 %;98,38 %;1,62 %
01107;Cleyzieu;4;84;135;0,00 %;0,00 %;0,00 %;100,00 %
01108;Coligny;3;84;1 154;0,00 %;0,00 %;95,22 %;4,78 %
01109;Collonges;3;84;1 897;0,00 %;0,00 %;96,94 %;3,06 %
01110;Colomieu;4;84;115;0,00 %;0,00 %;0,00 %;100,00 %
01111;Conand;4;84;104;0,00 %;0,00 %;0,00 %;100,00 %
01112;Condamine;3;84;404;0,00 %;0,00 %;100,00 %;0,00 %
01113;Condeissiat;3;84;756;0,00 %;0,00 %;82,83 %;17,17 %
01114;Confort;3;84;525;0,00 %;0,00 %;85,85 %;14,15 %
01115;Confrançon;3;84;1 157;0,00 %;0,00 %;94,88 %;5,12 %
01116;Contrevoz;3;84;539;0,00 %;0,00 %;88,63 %;11,37 %
01117;Conzieu;4;84;135;0,00 %;0,00 %;0,00 %;100,00 %
01118;Corbonod;3;84;1 176;0,00 %;0,00 %;95,50 %;4,50 %
01121;Corlier;4;84;124;0,00 %;0,00 %;0,00 %;100,00 %
01122;Cormaranche-en-Bugey;3;84;859;0,00 %;0,00 %;89,68 %;10,32 %
01123;Cormoranche-sur-Saône;3;84;1 058;0,00 %;0,00 %;98,32 %;1,68 %
01124;Cormoz;3;84;625;0,00 %;0,00 %;71,91 %;28,09 %
01125;Corveissiat;3;84;602;0,00 %;0,00 %;62,56 %;37,44 %
01127;Courmangoux;3;84;507;0,00 %;0,00 %;87,45 %;12,55 %
01128;Courtes;3;84;266;0,00 %;0,00 %;81,73 %;18,27 %
01129;Crans;3;84;269;0,00 %;0,00 %;76,09 %;23,91 %
01130;Cras-sur-Reyssouze;3;84;1 256;0,00 %;0,00 %;85,46 %;14,54 %
01133;Cressin-Rochefort;3;84;374;0,00 %;0,00 %;99,23 %;0,77 %
01134;Crottet;3;84;1 722;0,00 %;1,21 %;98,33 %;0,46 %
01135;Crozet;3;84;1 862;0,00 %;0,00 %;96,75 %;3,25 %
01136;Cruzilles-lès-Mépillat;3;84;818;0,00 %;0,00 %;94,85 %;5,15 %
01138;Culoz;3;84;2 909;0,00 %;0,00 %;97,24 %;2,76 %
01139;Curciat-Dongalon;3;84;456;0,00 %;0,00 %;51,27 %;48,73 %
01140;Curtafond;3;84;702;0,00 %;0,00 %;93,01 %;6,99 %
01141;Cuzieu;3;84;407;0,00 %;0,00 %;90,93 %;9,07 %
01142;Dagneux;2;84;4 099;0,00 %;87,71 %;12,24 %;0,05 %
01143;Divonne-les-Bains;2;84;8 160;0,00 %;86,91 %;12,52 %;0,58 %
01144;Dommartin;3;84;841;0,00 %;0,00 %;77,22 %;22,78 %
01145;Dompierre-sur-Veyle;3;84;1 226;0,00 %;0,00 %;75,27 %;24,73 %
01146;Dompierre-sur-Chalaronne;3;84;389;0,00 %;0,00 %;95,56 %;4,44 %
01147;Domsure;4;84;473;0,00 %;0,00 %;0,62 %;99,38 %
01148;Dortan;3;84;1 996;0,00 %;0,00 %;99,28 %;0,72 %
01149;Douvres;3;84;962;0,00 %;0,00 %;99,99 %;0,01 %
01150;Drom;4;84;209;0,00 %;0,00 %;0,00 %;100,00 %
01151;Druillat;4;84;1 134;0,00 %;0,00 %;47,13 %;52,87 %
01152;Échallon;3;84;772;0,00 %;0,00 %;93,75 %;6,25 %
01153;Échenevex;2;84;1 631;0,00 %;72,48 %;25,39 %;2,13 %
01154;Étrez;3;84;803;0,00 %;0,00 %;95,91 %;4,09 %
01155;Évosges;4;84;140;0,00 %;0,00 %;0,00 %;100,00 %
01156;Faramans;3;84;681;0,00 %;0,00 %;94,26 %;5,74 %
01157;Fareins;3;84;2 137;0,00 %;3,51 %;95,76 %;0,73 %
01158;Farges;3;84;854;0,00 %;0,00 %;89,87 %;10,13 %
01159;Feillens;3;84;3 115;0,00 %;0,00 %;99,82 %;0,18 %
01160;Ferney-Voltaire;2;84;8 025;0,00 %;100,00 %;0,00 %;0,00 %
01162;Flaxieu;3;84;63;0,00 %;0,00 %;99,96 %;0,04 %
01163;Foissiat;3;84;1 912;0,00 %;0,00 %;81,18 %;18,82 %
01165;Francheleins;3;84;1 323;0,00 %;28,52 %;67,76 %;3,72 %
01166;Frans;2;84;1 984;0,00 %;94,65 %;3,59 %;1,76 %
01167;Garnerans;3;84;656;0,00 %;0,00 %;98,82 %;1,18 %
01169;Genouilleux;2;84;609;0,00 %;57,95 %;37,10 %;4,96 %
01170;Béard-Géovreissiat;2;84;925;0,00 %;81,97 %;16,78 %;1,25 %
01171;Géovreisset;2;84;903;0,00 %;76,20 %;23,80 %;0,00 %
01173;Gex;2;84;10 372;0,00 %;91,70 %;7,62 %;0,68 %
01174;Giron;4;84;162;0,00 %;0,00 %;0,00 %;100,00 %
01175;Gorrevod;3;84;799;0,00 %;0,00 %;95,53 %;4,47 %
01177;Grand-Corent;3;84;161;0,00 %;0,00 %;82,40 %;17,60 %
01179;Grièges;3;84;1 899;0,00 %;0,00 %;99,52 %;0,48 %
01180;Grilly;3;84;762;0,00 %;0,12 %;99,46 %;0,41 %
01181;Groissiat;2;84;1 143;0,00 %;47,97 %;51,18 %;0,85 %
01183;Guéreins;2;84;1 308;0,00 %;79,59 %;19,84 %;0,57 %
01184;Hautecourt-Romanèche;3;84;773;0,00 %;0,00 %;56,24 %;43,76 %
01185;Hauteville-Lompnes;3;84;4 044;0,00 %;0,00 %;91,25 %;8,75 %
01186;Hostiaz;4;84;82;0,00 %;0,00 %;0,00 %;100,00 %
01187;Haut Valromey;4;84;683;0,00 %;0,00 %;0,00 %;100,00 %
01188;Illiat;3;84;570;0,00 %;0,00 %;87,15 %;12,85 %
01189;Injoux-Génissiat;3;84;1 055;0,00 %;0,00 %;76,25 %;23,75 %
01190;Innimond;4;84;114;0,00 %;0,00 %;0,00 %;100,00 %
01191;Izenave;4;84;164;0,00 %;0,00 %;0,00 %;100,00 %
01192;Izernore;3;84;2 278;0,00 %;0,00 %;93,68 %;6,32 %
01193;Izieu;3;84;201;0,00 %;0,00 %;100,00 %;0,00 %
